unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,expect_foreclosure,use_credit_cards,weight
2,1,7,1,1,100.0,0.0,2,9,77,1,77,6,2,1,93.047593504
2,1,6,1,1,30.0,20.0,3,9,1,77,2,4,77,1,54.069355693
2,1,7,1,2,105.0,50.0,3,3,1,77,3,6,77,1,2370.2597042
1,2,6,2,1,189.227868327961,83.76211784231891,2,8,77,1,77,6,3,1,869.31771427
1,1,3,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,335.90647223
1,1,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,54.069355693
1,1,4,1,2,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,174.83785779
2,1,7,1,2,200.0,0.0,1,5,77,77,77,5,77,1,79.743425153
2,2,5,1,2,50.0,20.0,3,8,1,77,2,1,77,1,183.87281211
1,2,7,1,1,300.0,50.0,2,2,77,1,77,6,3,1,93.047593504
2,1,7,1,1,500.0,200.0,2,2,77,1,77,6,3,1,54.069355693
2,2,7,1,2,60.0,10.0,2,9,77,2,77,3,3,1,133.03419262
2,2,6,2,1,300.0,0.0,1,7,77,77,77,7,77,1,100.52497169
2,1,7,1,1,300.0,100.0,2,2,77,1,77,8,3,1,93.047593504
2,1,7,1,2,250.0,25.0,3,2,1,77,3,4,77,1,133.03419262
2,1,7,1,2,150.0,200.0,1,6,77,77,77,6,77,1,133.03419262
2,1,6,1,1,186.50878955549945,80.75489671399761,3,6,1,77,2,5,77,1,112.08289325
2,1,7,1,1,300.0,60.0,1,2,77,77,77,8,77,1,646.85154191
2,1,7,1,1,140.0,0.0,3,7,1,77,2,7,77,1,161.30341919
2,1,6,1,1,100.0,140.0,2,8,77,1,77,8,3,1,156.86846997
1,1,6,1,3,100.0,30.0,3,9,1,77,2,2,77,1,601.45892331
2,1,7,1,2,130.0,55.0,1,3,77,77,77,5,77,1,107.8796218
2,2,2,1,2,300.0,50.0,1,2,77,77,77,6,77,1,762.46048398
1,1,4,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,137.01810073
2,1,7,1,1,300.0,170.0,2,2,77,1,77,7,3,1,51.796716957
2,1,7,1,2,400.0,400.0,2,9,77,1,77,8,2,1,108.61604004
2,1,7,1,3,200.0,100.0,3,8,1,77,3,8,77,1,181.68687756
2,1,7,1,1,180.0,300.0,2,3,77,1,77,8,3,1,55.157586462
2,2,6,1,1,120.0,100.0,1,9,77,77,77,7,77,1,80.389594947
2,2,7,1,1,250.0,0.0,1,2,77,77,77,6,77,1,55.806555255
1,2,7,1,1,70.0,25.0,3,9,1,77,2,4,77,1,80.389594947
1,2,2,1,2,155.77916356258842,46.76446854918348,3,9,1,77,2,1,77,1,721.08245031
2,1,5,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,204.64892199
2,1,7,1,1,150.0,200.0,2,9,77,1,77,4,2,1,87.829654772
1,2,6,1,1,60.0,200.0,1,2,77,77,77,4,77,1,40.414232465
2,1,7,1,1,50.0,25.0,3,9,1,77,2,6,77,1,51.796716957
2,1,7,2,1,500.0,300.0,2,3,77,1,77,8,3,1,562.65362812
2,1,7,1,1,250.0,200.0,2,3,77,1,77,8,3,1,312.35781777
2,1,6,1,1,100.0,60.0,3,9,1,77,2,5,77,1,143.84603546
2,2,5,1,2,75.0,50.0,2,3,77,1,77,4,3,1,354.77081789
2,1,7,1,1,115.0,20.0,2,3,77,1,77,5,3,1,295.20799737
1,2,6,1,2,80.0,11.0,1,2,77,77,77,6,77,1,107.8796218
2,1,7,1,1,100.0,200.0,2,3,77,1,77,8,3,1,40.414232465
1,2,6,2,1,390.0,390.0,1,9,77,77,77,5,77,1,54.391850865
2,1,4,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,252.89593777
2,1,7,1,1,350.0,100.0,2,3,77,1,77,8,3,1,51.796716957
2,2,6,1,2,75.0,35.0,1,2,77,77,77,7,77,1,107.8796218
1,2,6,1,1,250.0,80.0,3,2,1,77,3,7,77,1,52.742529497
2,1,7,1,1,130.0,100.0,2,9,77,1,77,7,2,1,1182.7694138
2,1,6,2,1,150.0,150.0,2,3,77,16,77,5,77,1,65.136620433
2,1,7,1,1,190.0,85.0,2,3,77,1,77,8,3,1,40.414232465
1,1,6,1,1,500.0,500.0,1,4,77,77,77,7,77,1,54.069355693
2,1,7,1,1,200.0,75.0,2,3,77,1,77,8,3,1,93.047593504
1,2,3,1,2,330.0,0.0,3,3,1,77,3,1,77,1,549.59231247
2,1,7,1,1,250.0,60.0,2,3,77,1,77,8,3,1,51.796716957
1,1,6,1,1,250.0,110.0,2,3,77,1,77,8,3,1,87.829654772
1,2,5,1,2,150.0,100.0,3,7,2,77,2,1,77,1,256.78216107
2,2,3,1,2,59.0,0.0,3,8,1,77,2,1,77,1,335.90647223
2,2,4,1,2,100.0,150.0,1,2,77,77,77,6,77,1,204.64892199
2,1,7,1,1,44.0,50.0,2,8,77,1,77,4,3,1,55.157586462
2,1,3,1,2,240.0,42.0,3,3,1,77,3,5,77,1,738.93752621
2,1,7,1,1,400.0,300.0,2,3,77,1,77,8,3,1,150.17999935
2,1,7,1,1,120.0,20.0,3,3,1,77,3,4,77,1,1046.5783811
1,2,6,1,1,41.0,0.0,3,9,1,77,2,4,77,1,808.51554509
2,1,7,1,1,140.0,200.0,2,2,77,1,77,8,3,1,55.806555255
1,1,5,1,1,300.0,200.0,2,3,77,1,77,7,3,1,88.60840646
1,1,4,1,2,175.84838642181197,68.96305812506473,1,3,77,77,77,4,77,1,204.64892199
2,1,7,1,1,250.0,150.0,3,6,1,77,2,4,77,1,93.047593504
1,2,4,1,2,100.0,0.0,3,7,2,77,2,2,77,1,252.89593777
2,1,5,1,2,300.0,110.33946556788162,1,5,77,77,77,5,77,1,81.006254031
1,1,7,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,108.61604004
2,2,4,1,1,65.0,47.46862392119599,1,3,77,77,77,5,77,1,137.01810073
2,1,4,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,252.89593777
1,2,6,1,1,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,56.538982314
2,1,7,1,2,100.0,200.0,3,9,1,77,2,7,77,1,122.21400107
1,2,7,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,74.386360892
1,1,7,1,2,200.0,100.0,2,2,77,1,77,6,3,1,108.61604004
2,2,7,1,2,50.0,50.0,2,2,77,2,77,5,4,1,133.03419262
2,1,7,1,1,100.0,30.0,2,2,77,1,77,8,3,1,51.796716957
2,1,7,1,1,120.0,0.0,2,3,77,1,77,6,3,1,51.796716957
2,2,6,1,1,250.0,0.0,2,2,77,1,77,7,3,1,56.538982314
1,2,6,1,1,100.0,50.0,2,2,77,1,77,6,3,1,150.17999935
2,2,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,80.389594947
1,1,4,1,1,60.0,15.0,2,9,77,1,77,3,3,1,60.772968826
2,1,7,1,1,200.0,100.0,2,7,77,1,77,7,3,1,80.389594947
1,1,4,1,1,25.0,0.0,3,2,1,77,3,1,77,1,143.07152929
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,55.806555255
2,2,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,80.389594947
2,1,6,1,2,110.0,52.77579231320791,3,3,1,77,3,4,77,1,108.61604004
2,1,4,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,174.83785779
1,1,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,68.094076165
2,2,6,1,1,400.0,350.0,2,3,77,1,77,8,3,1,2446.9914985
1,1,7,1,1,100.0,100.0,3,6,1,77,2,5,77,1,167.5928172
1,1,3,1,2,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,549.59231247
2,1,7,1,3,195.9176092810355,91.16164770094599,2,9,77,1,77,7,2,1,181.68687756
2,1,7,1,1,500.0,300.0,2,3,77,1,77,7,3,1,87.829654772
2,2,7,1,1,400.0,50.0,2,7,77,1,77,5,3,1,80.389594947
2,1,7,1,1,350.0,100.0,2,3,77,1,77,8,3,1,57.77454569
1,2,6,1,2,90.0,55.59722008299546,1,2,77,77,77,5,77,1,122.21400107
2,1,7,1,1,300.0,150.0,2,2,77,1,77,7,3,1,52.742529497
2,1,6,1,1,200.0,0.0,2,3,77,1,77,6,3,1,51.796716957
1,1,3,1,2,600.0,500.0,3,5,2,77,2,1,77,1,496.83719384
2,2,7,1,2,150.0,0.0,3,9,2,77,2,1,77,1,95.65147396
1,2,7,1,1,200.0,50.0,1,3,77,77,77,8,77,1,56.538982314
2,2,6,1,1,200.0,30.0,2,3,77,1,77,7,3,1,87.829654772
2,1,5,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,110.69973187
1,1,6,1,3,100.0,30.0,2,8,77,1,77,5,3,1,111.40449979
1,2,7,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,74.386360892
1,2,7,1,2,95.0,0.0,3,5,1,77,2,3,77,1,108.61604004
2,1,6,1,1,100.0,0.0,2,3,77,1,77,5,3,1,150.17999935
2,1,6,1,2,150.0,50.0,3,5,1,77,2,4,77,1,108.61604004
1,2,3,1,2,194.0,61.915171241028766,3,7,2,77,2,2,77,1,604.05659887
2,1,7,1,1,75.0,30.0,3,9,1,77,2,6,77,1,52.742529497
2,1,7,1,1,0.0,125.0,1,9,77,77,77,3,77,1,52.742529497
2,1,4,1,2,200.0,200.0,2,2,77,1,77,4,3,1,174.83785779
1,1,7,1,1,250.0,20.0,2,2,77,1,77,8,3,1,150.17999935
2,2,6,1,1,100.0,0.0,3,5,1,77,2,1,77,1,342.45641261
2,1,6,1,1,150.0,60.0,2,2,77,1,77,8,3,1,743.86621672
2,1,7,1,1,200.0,0.0,2,9,77,1,77,7,2,1,40.414232465
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,54.069355693
2,1,6,1,1,150.0,0.0,2,3,77,1,77,6,3,1,40.414232465
1,1,7,1,3,40.0,5.0,2,3,77,1,77,5,3,1,109.52223174
2,2,7,1,1,600.0,0.0,1,9,77,77,77,3,77,1,80.389594947
2,1,7,1,1,75.0,0.0,3,9,1,77,2,6,77,1,51.796716957
2,1,7,1,1,100.0,0.0,2,9,77,1,77,6,2,1,80.389594947
2,1,6,2,1,120.0,20.0,3,9,1,77,2,5,77,1,364.57961833
1,2,4,1,2,400.0,100.0,3,3,2,77,4,2,77,1,145.67257955
2,2,5,1,2,200.0,0.0,3,8,1,77,2,1,77,1,183.87281211
1,2,7,1,1,100.0,50.0,2,8,77,1,77,7,3,1,56.538982314
2,1,6,1,1,300.0,200.0,2,3,77,1,77,8,3,1,167.5928172
2,1,5,1,2,100.0,0.0,1,3,77,77,77,5,77,1,204.64892199
1,1,7,1,1,300.0,100.0,2,3,77,1,77,8,3,1,51.796716957
2,2,4,1,2,20.0,10.0,3,9,1,77,2,3,77,1,81.006254031
2,1,4,1,2,100.0,10.0,2,2,77,1,77,6,3,1,145.67257955
2,2,7,1,1,100.0,61.8275602785571,1,2,77,77,77,6,77,1,80.389594947
1,1,3,1,2,200.0,400.0,1,3,77,77,77,6,77,1,496.83719384
1,2,6,1,2,40.0,0.0,1,2,77,77,77,3,77,1,107.8796218
2,2,7,1,1,200.0,60.0,2,3,77,1,77,8,3,1,56.538982314
2,1,6,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,55.806555255
2,1,7,1,1,100.0,0.0,3,5,1,77,2,4,77,1,52.742529497
2,1,7,1,1,200.0,150.0,2,2,77,1,77,8,3,1,150.17999935
2,1,4,1,2,200.0,100.0,3,2,1,77,3,8,77,1,145.67257955
2,1,7,1,1,275.0,75.0,2,2,77,1,77,7,3,1,55.806555255
2,1,7,1,1,60.0,25.0,2,2,77,1,77,7,3,1,93.047593504
2,1,6,1,1,190.0,120.0,2,3,77,1,77,8,3,1,51.796716957
1,2,3,1,2,300.0,200.0,3,6,1,77,2,1,77,1,549.59231247
1,2,4,2,2,0.0,0.0,3,6,2,77,2,1,77,1,164.55688196
2,1,7,1,1,200.0,150.0,1,5,77,77,77,8,77,1,56.538982314
2,2,1,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,604.05659887
2,1,7,1,1,120.0,25.0,2,2,77,1,77,8,3,1,52.742529497
2,1,7,1,3,175.84838642181197,68.96305812506473,2,3,77,1,77,4,3,1,216.23529587
1,1,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,55.157586462
2,2,7,1,1,160.0,100.0,1,9,77,77,77,6,77,1,52.742529497
1,1,7,1,1,300.0,20.0,2,3,77,1,77,8,3,1,54.069355693
2,1,6,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,122.21400107
2,1,7,1,1,202.60735023411002,98.56117755957307,1,3,77,77,77,8,77,1,54.069355693
2,1,6,1,1,150.0,150.0,2,9,77,1,77,5,2,1,80.389594947
2,1,7,1,1,170.0,50.0,2,2,77,1,77,6,3,1,612.22579147
2,1,6,1,1,120.0,30.0,3,8,1,77,3,4,77,1,40.414232465
2,1,6,1,1,200.0,150.0,2,8,77,1,77,8,3,1,55.806555255
2,1,7,1,1,200.0,0.0,2,3,77,1,77,7,3,1,54.069355693
1,1,3,1,2,193.0,0.0,1,4,77,77,77,5,77,1,891.08127574
1,2,3,1,2,100.0,0.0,3,5,2,77,2,5,77,1,549.59231247
2,1,7,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,138.13147418
2,1,6,1,1,350.138050880683,400.0,2,3,77,1,77,8,3,1,93.047593504
2,1,7,1,3,250.0,97.30559759528968,1,5,77,77,77,5,77,1,392.83401812
2,1,6,1,1,250.0,150.0,2,8,77,1,77,6,3,1,57.77454569
2,2,3,1,2,100.0,35.0,2,3,77,2,77,3,4,1,762.46048398
1,2,6,1,1,150.0,100.0,1,2,77,77,77,5,77,1,80.389594947
2,2,3,1,1,50.0,0.0,2,2,77,1,77,1,3,1,568.16930248
2,1,7,1,1,200.0,200.0,2,3,77,1,77,8,3,1,55.806555255
2,1,6,1,4,200.0,200.0,2,9,77,1,77,4,2,1,138.63335259
1,2,4,1,1,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,115.5568061
2,1,7,1,1,202.60735023411002,98.56117755957307,2,9,77,1,77,8,2,1,56.538982314
2,1,7,1,1,80.0,30.0,3,3,1,77,3,5,77,1,55.157586462
2,1,6,1,1,150.0,350.0,3,6,1,77,2,7,77,1,344.44637013
2,1,7,1,3,50.0,20.0,3,9,1,77,2,1,77,1,936.67433763
1,1,7,1,1,500.0,100.0,2,2,77,1,77,8,3,1,87.829654772
2,2,7,1,1,500.0,500.0,1,8,77,77,77,6,77,1,56.538982314
2,1,5,1,2,200.0,60.0,2,3,77,1,77,4,3,1,81.006254031
2,1,6,1,2,90.0,25.0,3,9,1,77,2,4,77,1,138.13147418
1,1,6,1,1,150.0,150.0,3,5,1,77,2,7,77,1,167.5928172
2,1,7,1,3,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,138.63335259
1,1,6,2,2,100.0,50.0,2,2,77,1,77,8,3,1,54.391850865
1,2,6,1,2,100.0,10.0,3,9,2,77,2,4,77,1,95.65147396
2,1,7,1,1,95.0,50.0,2,9,77,1,77,6,2,1,93.047593504
2,1,7,1,1,250.0,230.0,2,9,77,1,77,8,2,1,56.538982314
1,1,6,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,298.66076603
2,2,7,1,1,186.50878955549945,80.75489671399761,3,9,1,77,2,5,77,1,80.389594947
1,1,7,1,1,300.0,40.0,2,3,77,1,77,8,3,1,40.414232465
2,2,7,1,1,115.0,0.0,1,9,77,77,77,2,77,1,56.538982314
1,2,4,2,1,100.0,40.0,3,9,1,77,2,6,77,1,667.48512618
2,1,7,1,2,300.0,75.0,2,2,77,1,77,3,3,1,107.8796218
2,1,6,1,2,300.0,500.0,1,3,77,77,77,4,77,1,95.65147396
2,1,7,1,1,220.0,150.0,2,3,77,1,77,7,3,1,150.17999935
2,1,7,1,1,100.0,0.0,3,9,1,77,2,7,77,1,55.806555255
2,1,4,1,4,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,234.07046623
2,2,7,1,1,50.0,40.0,3,9,1,77,2,5,77,1,80.389594947
2,1,7,1,1,250.0,120.0,2,3,77,1,77,8,3,1,150.17999935
2,1,7,1,1,150.0,25.0,3,8,1,77,3,2,77,1,68.094076165
2,1,7,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,133.76810475
2,2,4,1,2,20.0,0.0,3,7,2,77,4,1,77,1,256.78216107
2,2,7,1,2,100.0,0.0,1,8,77,77,77,1,77,1,133.03419262
2,1,7,1,1,160.0,100.0,2,9,77,1,77,8,2,1,56.538982314
2,1,7,1,1,75.0,60.0,3,9,1,77,2,7,77,1,54.069355693
2,1,7,1,1,300.0,100.0,2,2,77,1,77,5,3,1,40.414232465
2,1,7,1,1,48.0,0.0,2,4,77,1,77,4,3,1,52.742529497
2,2,3,1,2,250.0,75.0,3,9,2,77,2,1,77,1,549.59231247
2,2,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,57.77454569
2,2,6,1,1,125.0,225.0,2,8,77,1,77,8,3,1,80.389594947
2,1,5,1,1,300.0,70.0,2,5,77,1,77,7,3,1,57.436265081
2,1,7,1,1,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,56.538982314
2,1,7,1,1,300.0,100.0,2,3,77,1,77,8,3,1,1022.5456796
2,1,7,1,1,250.0,200.0,2,5,77,1,77,6,3,1,54.069355693
2,1,7,1,1,200.0,50.0,2,3,77,1,77,8,3,1,51.796716957
2,2,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,80.389594947
2,1,3,1,1,85.0,0.0,2,9,77,1,77,7,2,1,306.45706268
2,2,6,1,2,195.9176092810355,91.16164770094599,2,2,77,1,77,7,3,1,133.03419262
1,1,3,2,4,225.0,225.0,3,7,1,77,2,1,77,1,453.9405908
2,1,6,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,167.5928172
2,2,7,1,1,150.0,20.0,2,6,77,1,77,4,3,1,56.538982314
2,2,4,1,2,75.0,0.0,1,2,77,77,77,2,77,1,183.87281211
2,1,6,1,1,120.0,60.0,2,2,77,1,77,5,3,1,52.742529497
2,1,3,1,4,80.0,0.0,2,3,77,1,77,6,3,1,626.02659742
2,1,7,1,1,350.138050880683,400.0,2,2,77,1,77,8,3,1,435.76317268
2,1,7,1,1,30.0,20.0,2,3,77,1,77,8,3,1,87.829654772
1,1,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,55.157586462
2,1,7,1,2,100.0,50.0,3,9,1,77,2,5,77,1,108.61604004
1,2,6,1,1,150.0,150.0,2,7,77,1,77,6,3,1,93.047593504
2,2,4,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,137.01810073
2,1,7,1,1,150.0,100.0,2,8,77,1,77,7,3,1,54.069355693
1,1,6,1,2,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,74.386360892
2,1,7,1,1,100.0,200.0,3,5,1,77,2,8,77,1,87.829654772
1,1,6,1,1,100.0,30.0,2,5,77,1,77,8,3,1,54.069355693
2,1,7,1,4,500.0,150.0,2,3,77,1,77,8,3,1,138.63335259
2,2,3,1,2,168.05087741903804,72.0,3,3,2,77,2,1,77,1,335.90647223
2,2,4,1,2,100.0,0.0,3,5,1,77,2,1,77,1,81.006254031
1,1,4,1,1,100.0,40.0,3,9,1,77,2,5,77,1,115.89084824
1,1,7,1,2,300.0,100.0,2,2,77,2,77,8,4,1,122.21400107
1,1,6,1,2,200.0,20.0,1,4,77,77,77,5,77,1,122.21400107
2,2,6,1,1,300.0,0.0,1,2,77,77,77,5,77,1,40.414232465
2,1,7,1,1,150.0,50.0,3,3,1,77,3,5,77,1,51.796716957
1,1,7,1,3,200.0,30.0,2,9,77,1,77,5,3,1,109.52223174
1,1,7,1,1,200.0,150.0,3,5,1,77,2,4,77,1,51.796716957
2,1,7,1,1,100.0,40.0,1,2,77,77,77,4,77,1,51.796716957
1,1,7,1,1,150.0,50.0,3,9,1,77,2,6,77,1,52.742529497
2,1,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,150.17999935
1,2,4,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,183.87281211
1,1,7,1,4,144.0,0.0,2,3,77,1,77,6,3,1,138.63335259
2,1,7,1,1,225.0,0.0,2,9,77,1,77,7,2,1,51.796716957
2,1,6,1,1,150.0,75.0,1,9,77,77,77,8,77,1,51.796716957
2,1,5,1,2,80.0,25.0,3,4,1,77,3,4,77,1,81.006254031
2,1,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,87.829654772
2,2,7,1,1,75.0,100.0,2,3,77,1,77,8,3,1,80.389594947
2,1,5,1,2,0.0,0.0,1,3,77,77,77,4,77,1,256.78216107
2,1,7,1,1,300.0,70.0,2,2,77,1,77,6,3,1,40.414232465
1,1,3,1,2,500.0,500.0,1,3,77,77,77,7,77,1,549.59231247
2,1,7,1,1,0.0,20.0,1,5,77,77,77,6,77,1,93.047593504
2,1,6,1,1,75.0,25.0,1,5,77,77,77,5,77,1,55.806555255
1,1,7,1,4,200.0,100.0,3,9,1,77,2,6,77,1,623.54800947
2,2,2,1,2,80.0,15.0,3,3,1,77,3,1,77,1,616.04287811
1,2,2,1,2,300.0,0.0,3,8,1,77,2,2,77,1,891.08127574
1,2,7,2,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,78.319906896
2,1,3,1,1,150.0,0.0,3,9,1,77,2,6,77,1,568.16930248
2,1,7,1,1,250.0,70.0,2,3,77,1,77,8,3,1,93.047593504
2,1,7,2,4,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,65.136620433
1,2,4,1,3,100.0,20.0,3,8,2,77,2,2,77,1,150.97080221
1,2,4,2,2,200.0,200.0,3,6,2,77,3,2,77,1,119.25440459
1,2,4,1,2,0.0,0.0,4,5,77,77,77,3,77,1,81.006254031
1,1,7,1,1,500.0,250.0,2,2,77,1,77,8,3,1,40.414232465
1,1,7,1,2,300.0,45.0,2,3,77,1,77,6,3,1,108.61604004
1,2,7,1,1,250.0,60.0,3,9,1,77,2,6,77,1,1748.9569576
2,1,7,1,1,150.0,0.0,3,9,1,77,2,1,77,1,374.51521627
2,1,6,1,1,60.0,50.0,3,8,1,77,3,4,77,1,131.37454267
1,1,6,2,1,50.0,20.0,3,7,1,77,2,1,77,1,324.44200618
2,1,7,1,1,100.0,0.0,2,2,77,1,77,8,3,1,52.742529497
2,2,6,1,1,85.0,0.0,1,3,77,77,77,5,77,1,80.389594947
